Crop,Temperature,Moisture Content,Pesticide,Light,Oxygen,Spoilage Risk
1,13.9,13.67,0,0,1.5,35
1,12.79,15.27,1,0,4.64,27
1,12.99,14.89,0,1,5.63,42
0,4.57,11.25,1,1,6.09,31
1,12.06,4.24,1,1,7.94,30
1,22.93,16.31,1,2,4.27,40
0,37.38,18.87,1,0,5.32,45
1,31.54,6.48,1,1,5.65,38
1,20.35,8.22,1,2,6.44,37
2,1.29,2.14,0,1,2.51,33
0,13.19,3.45,1,2,3.16,30
0,24.42,5.41,1,2,7.72,38
1,1.86,8.51,1,1,1.43,26
1,34.2,4.45,0,2,4.75,47
1,8.02,14.97,1,1,3.91,29
0,35.17,6.78,1,2,2.05,39
2,4.27,5.7,0,1,5.55,37
1,32.23,7.59,0,1,4.72,43
2,14.55,10.29,0,0,5.94,34
1,15.25,14.94,1,2,3.49,36
1,19.58,12.63,1,2,0.53,30
1,23.31,12.99,1,0,3.45,27
1,16.27,16.08,1,2,5.01,44
1,8.59,16.62,1,1,3.11,33
1,14.37,12.59,0,2,3.99,40
0,3.58,4.38,0,2,4.29,38
2,6.14,17.29,1,1,6.78,35
1,21.23,2.17,1,0,3.34,26
2,23.88,16.96,1,1,3.68,29
2,21.02,10.25,1,0,7.47,23
2,0.58,3.79,0,1,6.85,37
0,25.06,15.7,0,1,2.13,46
2,7.87,6.72,0,2,1.73,37
0,35.37,2.9,0,2,1.95,47
2,38.1,11.24,0,2,7.61,47
2,15.17,5.2,1,1,1.2,22
0,33.34,5.42,0,2,7.52,52
1,37.74,3.87,0,1,1.93,48
2,3.07,7.54,1,2,1.1,28
2,13.01,13.62,1,2,0.95,27
1,4.37,10.91,1,1,1.68,26
2,35.15,11.28,1,1,1.2,30
1,39.61,19.81,1,2,5.43,59
2,23.74,2.31,1,1,5.25,26
0,0.96,13.64,0,1,2.22,34
1,8.37,7.93,1,0,7.14,27
2,31.81,5.8,1,0,2.81,23
1,32.12,11.0,0,1,4.57,43
1,14.0,18.76,0,0,3.15,44
2,3.34,16.37,1,1,1.3,31
0,9.88,15.28,1,2,4.72,33
2,31.81,18.97,1,2,2.0,42
1,31.42,12.41,1,1,4.63,35
2,25.19,11.01,0,1,6.25,39
2,14.77,10.96,1,2,3.53,28
2,5.64,17.32,0,1,5.23,44
2,37.22,6.07,0,1,3.51,39
2,13.52,15.95,0,1,7.9,41
2,37.15,11.93,1,2,5.68,38
1,25.35,10.82,1,1,6.79,38
1,23.36,13.56,0,0,7.39,42
1,20.63,18.32,0,2,7.2,58
2,22.93,14.13,0,0,5.65,35
1,23.32,7.2,1,2,3.74,33
1,36.35,5.11,1,1,2.28,39
1,13.46,18.9,0,2,6.35,55
1,31.7,13.99,1,1,5.03,41
0,31.43,6.36,1,0,2.22,32
1,16.45,13.93,1,2,6.63,40
0,3.22,2.94,1,2,6.62,35
0,7.35,8.17,1,0,5.8,28
2,33.22,14.43,1,0,2.31,26
1,17.79,18.45,0,2,4.39,54
1,12.41,4.04,0,0,7.87,36
1,31.31,8.36,1,1,4.7,34
1,24.87,18.63,1,2,1.12,45
0,10.69,16.21,0,2,6.62,51
0,5.66,9.97,1,0,1.76,23
2,10.25,8.92,1,1,5.85,28
0,32.48,15.74,1,0,6.2,40
0,1.5,4.85,1,1,4.61,26
2,14.25,19.23,1,2,6.47,44
1,11.25,14.55,1,0,4.35,26
0,24.89,15.4,1,0,1.42,29
0,27.5,11.0,1,1,4.41,35
0,32.03,15.35,1,1,2.17,38
0,21.01,2.09,1,2,5.87,38
2,6.42,11.96,0,2,5.36,41
0,9.95,19.96,1,0,0.62,28
1,13.55,6.3,0,0,3.3,32
2,38.87,2.32,1,2,1.57,34
1,31.99,19.73,1,2,3.92,50
2,7.57,7.43,1,2,5.56,32
0,17.93,17.23,0,2,1.91,49
1,12.8,4.71,1,1,5.98,30
1,33.72,4.3,1,0,1.46,31
1,15.83,2.6,1,1,7.17,33
1,15.95,3.1,0,2,3.14,42
2,11.77,3.59,0,1,3.19,33
2,9.78,6.67,0,2,4.49,37
0,24.84,16.27,0,2,3.76,49
1,31.73,8.28,0,0,2.15,40
1,15.47,10.63,1,0,0.52,22
1,11.68,17.17,0,1,0.89,38
0,26.57,7.54,0,0,1.62,40
1,36.92,6.83,0,0,7.54,49
1,27.29,19.76,0,1,3.17,55
2,6.61,17.8,1,1,1.36,31
2,11.51,3.04,1,1,6.19,28
1,29.71,9.58,0,1,2.56,43
1,29.57,6.44,1,2,7.5,42
1,0.3,13.68,0,0,3.98,35
2,22.81,14.14,0,1,3.19,34
2,27.04,8.07,0,2,4.05,39
0,21.67,18.16,1,1,2.77,37
2,29.81,18.14,0,0,1.58,44
1,18.74,5.04,1,2,3.9,33
1,18.97,8.35,0,1,2.82,38
2,37.2,15.0,0,2,1.05,47
0,31.75,9.46,1,2,5.04,44
0,20.18,16.98,0,1,0.55,42
2,19.22,9.56,1,0,4.67,19
0,3.86,14.74,0,0,6.85,39
0,38.89,18.33,1,2,6.56,52
0,37.6,5.11,1,1,6.37,40
1,14.61,12.67,0,0,1.77,33
1,15.66,5.88,0,0,2.5,35
1,13.86,2.36,1,1,0.85,22
1,37.44,12.6,1,0,4.18,37
1,27.89,11.39,0,0,5.22,44
1,12.21,18.64,0,2,1.01,51
0,5.68,2.49,0,2,0.84,35
0,5.82,15.04,0,0,4.63,34
2,29.29,4.16,0,0,2.91,32
0,12.01,10.76,0,0,5.58,36
1,33.41,8.91,1,2,4.61,38
0,17.41,3.33,1,2,7.3,38
1,11.89,6.59,0,1,2.56,35
1,13.25,17.48,0,2,7.64,50
1,9.37,15.93,0,2,6.27,47
1,14.7,2.67,1,2,3.88,30
2,6.69,10.62,1,0,5.42,25
1,8.92,16.81,0,1,4.62,42
1,23.2,12.18,1,0,2.87,27
2,0.3,16.31,0,1,2.89,40
2,17.14,18.07,0,1,4.77,43
0,36.81,15.81,0,2,1.73,50
1,38.2,7.61,0,0,5.07,49
1,0.99,12.81,0,2,3.77,40
1,20.37,2.0,1,2,3.53,33
1,1.88,17.36,0,2,4.45,46
2,6.27,10.11,1,0,4.27,21
1,38.87,4.87,1,1,1.65,39
1,13.45,14.82,0,1,3.62,38
0,11.28,11.21,1,1,4.41,26
0,36.46,16.52,0,0,2.54,48
0,33.8,3.9,1,2,5.26,44
2,19.57,12.79,1,1,5.41,27
2,15.84,6.42,0,0,5.17,32
0,16.84,10.38,0,1,5.48,42
1,16.97,2.41,0,1,1.6,38
2,12.51,5.84,0,1,4.16,33
1,9.58,19.05,0,1,5.33,51
2,29.26,5.32,1,2,3.31,30
0,8.81,5.2,1,2,5.22,35
0,28.85,17.18,1,1,7.75,48
1,5.75,4.22,1,2,5.05,34
2,38.48,7.71,1,0,6.01,31
0,27.66,19.04,0,1,2.78,51
1,39.55,15.08,0,2,7.94,60
1,32.04,15.5,1,0,7.78,39
0,23.38,11.41,0,0,1.42,34
1,9.99,12.41,1,2,3.26,31
2,23.46,14.52,1,1,3.06,25
2,19.42,11.03,1,1,6.84,26
0,28.5,8.59,1,0,4.39,32
1,28.61,13.16,1,0,5.82,38
0,16.62,5.63,0,2,3.14,41
0,17.07,3.23,1,2,5.16,38
0,21.21,17.15,1,2,4.98,41
0,23.97,2.61,1,2,5.31,38
0,3.63,3.99,1,2,1.33,30
1,28.49,15.98,0,2,3.28,51
2,21.03,16.91,1,1,2.08,29
1,38.53,18.66,1,2,4.85,55
0,5.57,17.03,1,2,3.7,38
1,31.37,11.31,1,0,4.5,31
1,4.42,13.7,1,2,0.85,29
1,13.81,14.98,1,0,7.25,30
2,28.63,4.02,0,1,4.72,35
2,10.23,7.3,0,2,1.89,37
1,39.91,10.14,0,2,2.71,52
1,10.52,6.79,1,0,7.93,27
1,15.17,18.79,0,1,7.65,54
0,26.62,7.47,1,2,6.72,44
1,32.99,13.98,1,2,3.16,41
2,18.19,2.81,1,0,3.7,19
2,5.19,15.67,0,0,7.17,38
1,38.14,15.84,1,1,4.72,43
2,25.02,10.77,0,2,5.84,43
0,8.21,2.14,1,2,2.58,30
0,30.65,7.95,1,2,2.21,39
1,2.9,16.9,1,0,3.53,30
1,15.59,15.16,0,0,5.85,43
1,37.25,13.12,0,0,5.03,52
1,33.75,16.67,1,2,3.55,45
0,4.35,10.48,1,2,2.99,30
1,0.43,3.44,1,0,3.74,23
1,22.66,4.94,1,0,2.07,26
2,11.45,2.8,1,0,7.41,25
0,35.5,3.7,0,1,1.89,43
1,4.74,10.14,1,0,2.64,23
0,2.46,13.92,1,1,7.08,31
0,14.52,17.52,0,1,2.81,42
1,36.45,19.21,1,2,2.74,55
0,4.58,17.56,1,2,4.85,38
1,6.6,9.51,1,1,6.25,30
0,23.5,9.59,1,1,0.94,26
1,18.55,7.56,1,2,7.95,37
0,33.46,13.94,0,1,1.34,43
1,20.49,18.29,0,1,6.35,54
0,26.3,14.09,0,0,6.3,48
2,8.78,12.9,1,2,1.54,29
0,11.3,17.98,0,1,3.05,42
0,2.24,7.26,1,2,5.12,35
2,1.4,14.16,0,1,3.06,36
1,28.22,19.08,0,0,7.26,56
0,33.23,2.26,1,1,3.65,35
0,28.67,18.17,0,2,6.29,60
1,28.6,12.34,0,0,7.83,45
0,3.79,17.05,0,0,4.26,39
2,27.6,19.71,1,0,3.07,35
2,30.98,19.67,1,1,4.36,38
0,16.73,13.8,1,1,5.03,34
2,1.85,4.13,0,1,4.44,33
0,30.05,12.12,0,0,5.99,45
2,24.21,17.68,0,0,2.37,35
1,36.69,9.14,1,1,1.95,39
2,28.95,16.8,1,0,4.16,30
2,8.37,5.6,0,1,3.83,33
2,26.67,4.06,1,1,5.0,30
0,15.7,6.64,0,1,6.79,42
1,33.84,2.03,0,1,1.05,43
1,23.15,18.88,1,0,5.48,42
2,26.27,16.34,0,1,5.63,46
2,21.99,18.49,0,2,5.59,51
1,29.24,11.17,1,1,5.82,38
2,2.35,8.5,0,2,7.27,41
1,20.87,6.97,1,2,2.27,33
1,32.44,16.16,0,2,7.21,58
2,15.1,17.33,1,0,6.22,30
1,16.62,7.73,0,1,5.27,42
2,7.53,4.6,0,1,3.63,33
1,21.32,5.32,1,2,3.42,33
0,15.5,3.87,0,2,3.32,41
2,38.38,15.48,0,1,6.69,47
0,12.05,16.92,0,1,5.71,47
1,38.17,4.72,1,1,1.82,39
2,36.77,11.86,0,2,3.49,43
0,24.92,15.58,1,2,5.46,41
2,8.02,11.04,1,2,1.54,28
1,28.07,5.17,0,2,4.21,47
2,8.16,4.61,1,0,1.22,21
1,1.06,16.59,0,0,6.19,43
1,13.76,4.91,1,2,4.12,30
2,34.42,12.78,0,1,5.0,40
1,12.82,9.47,0,0,4.61,32
2,1.7,15.16,0,0,4.13,34
2,11.43,17.64,1,2,0.73,31
1,12.62,4.96,1,1,3.3,26
0,17.0,6.64,1,0,1.52,26
1,32.14,4.36,0,2,4.64,47
1,6.99,2.61,1,0,3.85,23
1,4.68,19.46,0,2,2.03,51
2,0.42,13.51,1,1,7.54,31
2,1.1,13.53,1,2,0.87,27
2,9.72,9.17,0,0,7.53,34
1,22.63,10.5,1,2,2.41,33
2,13.06,8.24,0,2,1.12,37
0,4.87,11.73,0,1,4.59,34
1,0.88,5.49,0,0,7.76,36
1,13.42,8.66,1,0,5.69,27
1,15.18,4.6,0,0,2.12,35
1,11.79,18.68,0,0,0.63,40
0,32.49,17.65,0,0,4.59,48
0,1.02,11.09,0,0,6.07,36
2,36.47,7.93,0,0,1.12,36
1,13.63,14.94,1,0,6.83,30
1,19.82,11.62,1,1,7.95,33
1,22.59,13.91,0,1,1.72,41
1,1.83,6.69,1,2,5.15,34
0,16.49,10.44,0,1,6.7,42
1,5.77,4.35,1,1,7.13,30
1,0.81,8.68,1,1,6.0,30
0,15.43,10.39,0,2,2.47,41
2,35.82,12.45,1,0,7.41,32
1,22.2,5.5,1,0,2.68,26
0,18.8,17.01,0,0,3.12,42
2,20.58,8.42,1,2,5.96,30
2,16.53,11.1,0,1,1.69,31
0,6.87,19.62,0,0,2.29,39
0,21.12,16.0,0,1,0.78,42
0,23.69,16.61,0,2,2.31,49
0,0.48,16.27,1,1,3.11,34
1,23.67,4.57,1,1,5.22,33
1,26.15,5.23,0,0,2.08,40
1,34.37,15.97,0,2,6.5,55
2,1.46,2.36,0,0,6.79,34
1,27.99,9.03,1,0,7.78,35
1,24.02,15.1,1,0,0.81,26
1,30.32,10.28,0,0,0.58,36
2,0.89,2.99,0,0,0.99,26
2,39.03,2.42,1,1,6.92,34
0,6.54,18.86,0,2,1.07,46
2,25.32,15.8,0,2,1.78,43
1,36.48,4.02,0,0,1.93,45
1,15.98,6.47,0,2,4.76,42
1,4.72,14.83,0,0,5.41,39
1,12.49,13.55,0,2,2.3,42
2,19.13,10.69,0,0,1.05,28
1,26.24,2.32,0,0,4.15,40
0,13.56,19.96,1,1,3.57,34
1,36.02,15.69,1,0,4.93,40
1,0.25,10.28,1,1,4.77,26
1,8.49,11.13,1,2,2.92,30
2,17.07,17.75,0,0,7.37,39
0,6.38,11.57,1,2,7.72,35
0,38.9,7.8,1,0,4.57,32
1,4.65,5.19,0,1,3.02,35
1,24.2,16.88,0,1,5.57,49
0,29.96,5.81,0,0,1.85,40
2,0.61,8.82,0,2,4.46,37
2,30.38,3.9,1,0,7.59,27
0,1.94,5.69,1,2,4.77,30
1,32.61,14.42,0,1,1.65,46
1,31.02,19.7,1,1,4.66,46
1,10.01,12.47,0,2,5.08,44
1,18.78,19.14,1,1,4.55,41
1,9.13,12.87,0,2,2.49,40
1,27.35,7.68,1,2,3.22,38
0,2.64,5.24,0,1,4.86,34
0,26.32,8.81,1,0,3.7,32
2,38.56,12.15,1,0,6.6,32
0,6.11,8.85,1,2,7.91,35
2,2.01,6.64,1,2,7.92,32
1,11.13,9.77,0,2,7.35,43
1,4.49,19.12,0,1,4.76,47
2,26.45,3.68,1,0,6.53,27
0,33.19,7.05,0,2,2.66,47
2,0.92,8.36,0,2,2.64,37
0,30.94,7.83,1,0,5.93,37
1,30.54,9.08,1,2,2.54,38
1,22.16,2.82,0,1,7.96,42
0,8.9,15.49,0,1,3.27,37
2,1.87,2.4,1,0,1.27,21
1,34.68,8.39,0,1,2.24,43
2,32.83,8.36,1,0,6.49,27
1,13.74,17.52,0,2,7.51,50
2,19.17,6.3,1,2,3.82,26
1,28.68,11.68,1,0,4.57,31
2,1.16,8.49,0,0,3.61,30
1,31.57,8.04,1,2,6.66,42
0,1.83,9.03,0,1,7.53,39
0,32.95,10.45,0,1,1.0,43
1,30.96,6.26,1,1,5.15,38
1,14.7,16.77,0,1,1.26,42
2,33.1,8.24,0,1,4.2,35
2,4.39,3.71,1,1,7.1,28
1,19.22,14.44,1,1,4.42,32
0,36.9,14.75,1,0,0.81,32
1,10.49,6.36,1,1,5.15,30
2,5.9,2.27,1,1,6.79,28
1,4.86,10.92,1,1,0.78,22
2,32.89,5.36,0,2,1.1,39
0,31.32,4.57,0,0,5.46,45
1,1.68,7.84,0,1,3.18,35
1,0.21,12.12,0,0,2.78,33
1,38.38,15.38,1,1,2.87,43
1,14.18,5.33,0,1,5.75,39
0,27.58,9.39,1,0,7.12,37
1,29.14,16.35,1,0,2.33,38
2,9.89,9.82,0,2,4.3,37
0,10.14,2.85,0,2,7.51,43
1,8.19,16.17,0,2,5.56,50
1,24.65,13.68,1,1,1.44,32
1,23.06,7.39,1,2,4.84,33
2,20.27,18.52,1,0,6.21,35
1,28.2,11.73,0,1,4.56,43
0,31.07,3.49,0,1,3.77,43
1,32.32,6.56,0,0,7.28,44
1,34.53,14.81,1,0,2.65,34
0,16.66,12.84,1,0,5.08,31
0,16.65,14.49,1,2,1.29,36
1,30.75,3.24,1,2,6.82,42
2,11.03,19.05,1,0,0.82,29
0,20.03,16.24,0,1,1.65,45
1,38.84,17.24,0,2,2.34,59
0,38.37,15.44,0,2,2.79,50
1,14.33,9.8,1,1,5.27,30
1,4.74,10.17,1,2,7.59,34
1,13.68,9.89,0,2,0.83,35
1,22.51,3.75,0,1,5.0,42
2,15.43,8.8,0,1,5.3,35
1,20.96,10.54,0,0,2.78,35
2,32.96,4.01,1,0,4.17,23
2,12.44,8.25,0,0,3.07,30
0,23.27,6.82,0,0,2.46,34
2,9.68,19.69,1,0,1.7,33
0,35.89,8.56,0,2,6.98,52
1,8.15,3.42,1,2,5.47,34
2,20.5,9.89,0,1,4.84,31
1,32.39,12.54,1,2,5.05,43
2,28.17,5.06,0,0,6.05,36
0,16.34,12.31,1,2,3.57,33
2,5.36,18.82,0,2,1.62,49
2,5.61,5.18,1,0,4.7,21
1,20.43,19.71,0,0,1.15,47
2,10.4,3.44,1,0,2.32,21
1,38.1,15.57,0,1,6.07,56
1,31.45,9.72,0,2,4.13,47
1,27.36,7.19,0,1,7.22,47
0,27.1,19.68,1,1,3.58,43
0,25.97,14.62,0,1,5.72,51
1,7.82,6.91,0,2,2.65,39
0,27.49,17.04,0,1,1.77,51
2,9.06,2.42,1,2,1.97,28
0,0.34,4.85,0,0,0.53,28
0,18.2,6.59,1,1,5.56,34
0,22.03,6.87,0,0,3.5,34
1,20.41,15.96,1,2,1.46,37
1,18.61,9.06,1,0,7.16,30
2,7.43,14.9,1,2,0.77,27
2,17.24,4.56,0,1,1.99,31
0,36.17,15.49,0,0,4.65,43
2,23.93,2.81,1,2,7.03,30
0,34.2,11.31,1,2,1.06,39
1,34.1,17.98,1,2,3.93,45
2,34.86,5.32,0,1,0.63,31
0,13.42,8.45,0,0,3.66,31
2,15.97,19.39,0,1,0.67,39
1,39.12,2.46,0,1,2.3,48
1,7.13,18.98,1,2,7.44,46
2,33.94,12.83,1,2,5.58,35
0,35.59,4.73,1,0,6.46,37
1,20.39,8.32,0,2,2.35,42
1,21.71,17.49,1,1,5.41,40
1,7.81,17.69,0,1,4.32,42
1,37.39,7.48,0,2,2.06,52
1,2.71,14.83,1,2,0.56,29
1,12.63,6.37,0,1,3.36,35
1,38.63,5.39,0,0,1.18,45
1,37.65,8.49,0,0,7.46,49
0,28.62,13.11,1,2,5.48,44
2,15.83,12.31,0,1,5.98,36
1,31.12,19.8,1,2,3.47,50
1,35.39,14.34,0,0,0.64,44
1,1.46,9.97,0,0,6.91,36
1,37.32,17.24,0,1,3.14,55
1,31.34,8.19,1,2,2.57,38
1,20.34,13.79,1,1,0.9,28
2,5.07,19.65,1,0,3.49,33
2,20.36,7.96,0,1,4.1,31
2,0.95,7.67,0,1,1.33,33
1,39.0,2.37,1,0,3.4,36
2,33.55,4.06,1,1,5.67,30
2,13.41,10.39,1,0,7.34,25
1,39.47,16.75,1,1,7.54,50
2,16.49,12.1,1,2,1.31,27
2,35.44,13.53,1,2,5.6,41
2,35.57,13.02,0,1,1.32,42
0,0.19,3.49,0,2,5.01,43
2,5.75,7.83,0,0,2.9,30
2,16.75,13.9,1,1,7.22,29
1,20.09,8.16,0,0,5.81,39
1,37.65,3.73,1,2,0.77,39
0,2.0,13.33,1,2,3.4,30
1,9.73,14.95,1,0,7.21,30
0,25.05,17.15,0,2,3.24,55
1,24.65,7.2,1,1,1.35,29
1,0.89,8.64,0,1,4.0,35
1,33.78,12.87,1,2,1.76,39
1,7.42,16.24,0,2,1.51,46
2,36.14,10.64,0,2,2.45,43
2,8.02,13.67,0,1,5.76,40
2,2.47,8.24,1,2,7.59,32
1,20.22,15.79,1,1,0.56,29
1,20.26,2.39,0,0,0.98,31
0,0.72,11.34,1,1,7.75,31
2,24.24,2.87,0,2,4.36,35
1,36.74,15.06,0,0,2.9,49
0,21.36,17.56,1,0,3.46,34
1,31.71,13.5,0,2,2.27,50
1,19.52,9.13,1,2,5.67,37
0,22.53,8.51,1,2,1.45,33
1,13.54,8.68,0,2,7.34,43
1,34.05,17.62,0,2,4.8,54
2,30.77,2.41,0,1,2.28,35
1,14.49,12.68,1,1,5.09,31
1,9.87,12.3,0,0,0.85,29
1,39.49,8.18,1,2,2.19,43
1,17.39,8.69,0,1,4.27,38
2,30.6,4.81,1,0,0.91,19
1,35.19,7.6,0,1,1.5,48
2,16.13,14.58,0,2,3.5,38
1,12.15,19.73,0,0,4.95,44
0,27.63,2.46,0,0,3.79,40
0,27.8,6.25,0,0,5.4,45
0,10.52,8.08,0,0,3.0,31
2,27.96,18.97,1,2,4.59,42
1,23.76,12.95,1,1,4.27,30
1,36.77,9.38,1,1,1.55,39
1,20.36,10.55,1,2,5.22,37
2,2.19,14.54,1,0,1.8,24
0,19.13,7.86,1,0,7.8,31
2,4.55,5.67,1,0,1.22,21
1,37.93,18.14,0,0,5.89,61
1,21.12,2.75,1,2,4.27,33
1,10.33,3.54,1,1,3.69,26
2,39.5,6.6,0,2,6.43,47
1,15.04,14.73,1,0,1.97,29
0,36.81,8.45,1,1,7.63,40
0,24.85,13.65,1,0,2.69,26
1,34.11,11.19,0,0,2.6,40
0,25.91,10.24,0,1,6.11,48
2,21.09,18.75,0,0,5.29,44
0,2.49,6.89,1,0,2.82,23
1,26.53,4.13,0,2,5.93,51
1,16.23,9.49,1,1,5.8,33
1,21.65,16.87,0,2,6.43,53
1,18.21,18.2,1,2,2.07,45
0,35.61,8.31,0,0,7.5,45
1,14.56,4.12,0,1,7.98,39
2,2.7,7.61,1,1,1.64,24
2,7.0,4.47,1,0,7.66,25
1,15.82,3.96,1,0,1.77,26
0,8.47,12.05,1,2,6.44,35
0,29.9,3.35,0,2,3.32,47
1,32.74,15.6,1,0,0.65,31
2,34.36,7.09,0,1,5.87,39
1,29.87,17.85,0,2,0.96,50
1,21.37,15.81,0,2,3.73,46
2,33.11,19.5,1,2,3.52,42
2,4.62,14.76,0,0,0.94,29
0,35.68,3.56,1,0,1.9,32
0,13.11,7.29,1,0,5.49,28
1,16.05,5.81,1,0,5.21,30
2,27.27,6.05,0,0,2.63,32
1,31.4,16.73,1,0,6.41,42
0,22.36,18.57,0,1,1.18,45
1,33.58,15.81,0,1,3.7,47
1,17.04,15.83,1,2,2.95,37
1,10.58,17.98,0,1,5.82,46
1,5.09,11.94,1,2,1.03,30
1,28.2,18.73,0,0,5.5,56
0,20.23,13.1,0,0,4.16,34
1,21.88,5.58,0,2,7.1,46
2,8.23,3.83,1,1,4.3,24
2,24.15,11.25,0,1,4.52,31
2,4.72,11.07,0,0,3.93,30
2,20.46,2.67,0,2,1.44,35
2,35.51,16.91,1,0,0.94,30
1,6.38,15.21,0,0,4.43,36
0,14.35,2.78,0,1,3.6,34
1,26.85,13.52,1,1,1.62,37
2,2.57,2.29,1,0,3.28,21
2,8.14,9.94,1,2,5.75,32
0,10.14,16.53,1,0,1.98,31
1,5.88,5.54,0,0,3.63,32
0,3.13,11.57,1,0,4.95,23
0,21.85,3.95,1,1,7.74,34
1,4.02,17.83,0,1,1.34,42
2,5.72,12.62,0,2,4.46,38
1,21.82,9.04,0,1,6.72,42
0,8.16,13.52,1,2,2.14,30
1,13.52,10.86,1,0,4.61,23
2,7.29,17.26,1,1,3.7,31
2,20.58,16.54,1,2,2.59,33
2,7.59,16.82,1,2,7.32,39
0,12.58,15.63,0,2,2.83,41
0,23.03,4.66,1,2,2.97,33
2,28.64,7.25,1,2,7.08,34
1,2.59,4.14,1,2,0.51,26
0,11.1,10.45,0,1,4.88,34
1,39.17,10.94,0,2,2.0,52
2,32.83,6.56,0,1,1.65,35
0,30.78,18.7,1,2,5.69,52
0,16.31,15.11,1,1,0.73,29
2,8.98,2.98,1,2,1.49,28
1,17.43,13.02,1,2,3.51,36
1,39.01,11.12,0,0,2.38,45
0,7.43,18.97,1,0,6.54,36
2,14.94,7.49,1,0,0.63,17
1,28.6,9.62,0,1,7.33,47
0,8.21,17.75,1,2,4.37,38
1,30.32,4.02,1,2,4.19,38
1,5.23,4.64,1,2,2.11,30
1,14.12,14.01,0,0,2.04,35
2,23.04,14.02,0,2,4.78,38
2,11.22,6.49,0,0,3.45,30
2,27.79,4.96,1,1,0.6,22
1,15.16,13.21,0,2,3.61,45
0,37.67,6.69,1,0,6.75,37
0,4.0,14.46,1,2,1.22,33
1,23.75,10.58,1,1,4.56,29
2,7.32,3.22,0,1,4.51,33
2,28.19,4.01,0,2,7.93,43
2,21.94,10.32,0,1,2.15,31
1,2.36,6.42,0,0,0.5,28
1,13.02,9.34,0,1,4.41,35
1,1.66,6.23,0,2,2.09,39
2,31.9,5.9,0,2,3.81,39
1,11.99,19.83,0,0,6.91,48
2,12.35,15.87,0,1,0.94,33
2,32.89,19.09,1,2,1.12,42
1,34.39,11.61,1,0,6.96,35
1,10.65,17.64,0,2,3.78,46
0,10.49,8.91,1,1,6.05,31
0,6.21,17.05,1,2,3.69,38
1,6.73,14.78,1,0,4.01,26
0,10.96,4.52,1,1,6.5,31
0,29.06,10.72,0,0,7.14,45
1,16.3,17.95,0,2,0.77,45
0,27.68,18.6,1,0,7.53,45
2,33.02,6.57,1,1,5.34,30
2,22.93,17.92,1,0,3.23,26
2,38.18,6.21,1,2,5.49,38
1,28.97,11.65,0,1,5.11,47
2,37.63,3.72,1,1,7.6,34
2,33.14,9.32,1,0,5.89,27
0,8.76,14.33,1,1,2.63,29
2,37.09,3.87,1,0,4.02,27
1,35.19,4.3,1,2,7.47,47
1,2.54,8.38,1,0,1.85,23
0,16.87,15.73,0,2,3.18,44
1,26.03,5.72,0,2,3.46,47
1,35.96,13.58,0,0,7.59,52
0,11.36,8.66,0,0,5.5,36
0,38.98,12.3,1,0,2.41,32
0,31.38,10.39,1,0,6.36,37
1,24.82,6.65,1,2,1.48,33
1,26.24,10.5,0,1,4.49,43
2,18.48,2.45,0,1,7.09,35
0,26.32,11.06,1,2,3.78,39
1,39.3,9.69,0,0,1.26,45
1,27.53,10.2,1,0,7.58,35
0,28.56,11.11,0,0,0.57,37
2,13.89,5.38,1,1,4.86,24
1,21.4,18.81,0,0,0.59,43
2,16.14,17.46,1,2,3.76,33
0,7.78,11.44,1,0,2.17,23
0,37.21,8.49,0,2,6.99,52
0,30.11,17.25,0,2,7.28,60
2,0.25,7.34,1,2,3.28,28
1,20.28,18.98,0,1,4.21,50
1,35.39,19.56,1,2,5.83,59
0,17.54,19.27,1,1,6.61,42
1,35.43,9.55,0,0,4.48,45
0,20.93,5.19,0,0,5.81,39
2,14.55,10.07,0,1,1.79,33
1,15.68,4.76,0,0,5.42,39
2,34.09,14.4,1,1,5.35,33
1,15.41,3.4,1,2,5.58,37
2,8.76,7.49,0,0,1.19,30
0,2.54,6.19,1,0,4.16,23
2,14.8,6.61,0,1,5.2,37
1,37.52,6.2,0,0,3.02,45
1,1.1,16.51,1,1,2.32,33
1,11.02,7.16,1,1,0.66,22
2,29.65,6.69,1,2,1.69,30
1,20.17,3.14,1,2,6.82,37
2,32.73,19.5,1,2,2.58,42
0,30.7,7.53,0,0,2.54,40
2,16.55,12.07,0,0,5.73,33
1,7.61,10.11,1,0,2.91,23
2,2.75,13.51,0,0,4.71,33
1,5.44,2.92,1,2,6.53,34
1,4.88,9.83,1,1,1.06,26
2,17.72,18.62,0,0,4.66,40
1,7.67,14.46,0,1,2.71,38
1,19.39,7.43,0,1,1.86,38
2,31.16,6.76,0,2,1.74,39
0,1.54,8.32,1,1,2.96,26
0,7.78,5.77,1,2,4.77,30
2,3.27,12.45,1,1,6.91,29
2,31.44,15.4,0,1,7.87,43
1,3.44,5.45,1,0,1.25,23
1,33.8,19.44,1,2,4.93,50
1,28.73,7.09,1,2,7.23,42
1,7.56,5.28,0,2,2.06,39
0,24.42,8.37,0,2,7.19,46
0,37.21,5.74,0,1,6.18,48
0,11.22,7.72,1,1,6.48,31
0,7.74,12.62,0,0,1.88,31
1,16.13,13.67,0,2,7.41,49
1,18.95,16.99,0,2,7.34,53
2,16.19,19.93,0,1,2.19,43
1,33.86,17.62,1,2,2.53,45
1,24.32,7.92,0,1,2.03,38
